assy :
HOIST LESS POS 4 FAULT STAND HANDLE BESAR TIDAK ROBOH STAND NO 6 DAN 9

block :

-ILA 03 DOOR OPEN FAULT. COKOTAI [5.75]	5,8 min
-ILA 04 TAIL STOCK ADVANCE FAULT [5.75]	5,8 min
-ILA 05 L TRUSH FIXED FAULT. COKOTAI [5.75]	5,8 min
-ILA 05 R PHASE FIXED FAULT [5.75]	5,8 min
-MC AUTO GRAFIR TIDAK MAU PROSES [5.75]	5,8 min
-ILA 05 LS PS OFF FAULT [4.6]	4,6 min

cam :

ISP 70 DISTANCE DOWEL HOLE WORK IN MAX	10,4 min
ISP 95 3ST PHASE LOCATOR FAULT	9,1 min
ISP 70 CLAMPER UNCLAMP SENSOR NOT TURNED	7,8 min
IGR 39 GR. WHEEL SHUTTER OPEN TIDAK END	5,2 min
IGR 40 PART ROTATING FAULT	5,2 min
IGR 43 COOLANT MOTOR OVERLOAD	5,2 min
ISP 95 FAN FAILURED	5,2 min
ISP70 IDSD 1003 NOSE	5,2 min
ISP70 IDSD 1003 NOSE 16/350	5,2 min
ISP70 IDSD 1003 NOSE 189 52/350	5,2 min
ISP 69 TOOL IDSD 1003 NOISE CT 92/350	3,9 min
ISP 70 TOOL IDSD 1003 NOISE CT 151/350	3,9 min
ISP 95 6ST TOOL DAMAGE	3,9 min
IGR 40 GR SHUTER OPEN TIDAK END	3,9 min
IGR 40 CHUCK CLAMP TIDAK END	2,6 min
IGR 40 PART ROTATION FAULT	2,6 min
IGR 41 CNC ALARM B935	2,6 min
IGR 42 CNC ALARM A616 (BOTH CENTER TIDAK END)	2,6 min
IGR 42 SERVO ALARM A447	2,6 min
IGR42 BOTH CENTER TIDAK END	2,6 min
ISP 69 ANGLE DOWEL HOLE WORK IN MAX (STD - 0.1 ACT 0.1)	2,6 min
ISP 69 TOOL IDSD 1003 NOISE CT 100/350	2,6 min
ISP 69 TOOL IDSD 1003 NOISE CT 189/350	2,6 min
ISP 69 TOOL IDSD 1003 NOISE CT 50/350	2,6 min
ISP 70 ANGLE DOWEL HOLE EX MAX	2,6 min
ISP 70 TOOL IDSD 1003 NOISE CT 141/350	2,6 min
ISP 70 TOOL IDSD 1003 NOISE CT 171/350 ISP 69 TOOL IDSD 1003 NOISE CT 166/350 ISP 69 TOOL IDSD 1003 NOISE CT 6/350	2,6 min
ISP 70 TOOL IDSD 1003 NOISE CT 283/350	2,6 min
ISP 70 TOOL IDSD 1003 NOISE CT 40/350	2,6 min
ISP 70 TOOL IDSD 1003 NOISE CT 45/350	2,6 min
ISP 70 TOOL IDSD 1003 NOISE CT 70/350	2,6 min
ISP 95 5ST JIG ADHERENCE FAULT	2,6 min
PRESS PIN LEFT CLAMP 1 FAULT	2,6 min
IGR 32 WHEEL SPINDLE LOW	1,3 min
ISP 69 TOOL IDSD 1003 NOISE CT 111/350	1,3 min
ISP 69 TOOL IDSD 1003 NOISE CT 219/350	1,3 min
ISP 69 TOOL IDSD 1003 NOISE CT 286/350	1,3 min
ISP 69 TOOL IDSD 1003 NOISE CT: 158/350	1,3 min
ISP 70 TOOL IDSD 1003 NOISE CT 102/350	1,3 min
ISP 96 TC ISCTA 0502 CT 125/125	1,3 min
